Year,Period,Area,Adjusted,Preliminary,Unemployment Rate
"2014","Dec","Los Angeles County","Adj","Not Prelim","7.7"
"2013","Jan","Los Angeles County","Adj","Not Prelim","10.3"
"2013","Feb","Los Angeles County","Adj","Not Prelim","10.3"
"2013","Mar","Los Angeles County","Adj","Not Prelim","10.2"
"2013","Apr","Los Angeles County","Adj","Not Prelim","10.1"
"2013","May","Los Angeles County","Adj","Not Prelim","10.0"
"2013","Jun","Los Angeles County","Adj","Not Prelim","9.9"
"2013","Jul","Los Angeles County","Adj","Not Prelim","9.8"
"2013","Aug","Los Angeles County","Adj","Not Prelim","9.7"
"2013","Sep","Los Angeles County","Adj","Not Prelim","9.5"
"2013","Oct","Los Angeles County","Adj","Not Prelim","9.4"
"2013","Nov","Los Angeles County","Adj","Not Prelim","9.2"
"2013","Dec","Los Angeles County","Adj","Not Prelim","9.0"
"2012","Jan","Los Angeles County","Adj","Not Prelim","11.6"
"2012","Feb","Los Angeles County","Adj","Not Prelim","11.5"
"2012","Mar","Los Angeles County","Adj","Not Prelim","11.4"
"2012","Apr","Los Angeles County","Adj","Not Prelim","11.3"
"2012","May","Los Angeles County","Adj","Not Prelim","11.2"
"2012","Jun","Los Angeles County","Adj","Not Prelim","11.1"
"2012","Jul","Los Angeles County","Adj","Not Prelim","11.0"
"2012","Aug","Los Angeles County","Adj","Not Prelim","10.8"
"2012","Sep","Los Angeles County","Adj","Not Prelim","10.7"
"2012","Oct","Los Angeles County","Adj","Not Prelim","10.5"
"2012","Nov","Los Angeles County","Adj","Not Prelim","10.5"
"2012","Dec","Los Angeles County","Adj","Not Prelim","10.4"
"2011","Jan","Los Angeles County","Adj","Not Prelim","12.5"
"2011","Feb","Los Angeles County","Adj","Not Prelim","12.4"
"2011","Mar","Los Angeles County","Adj","Not Prelim","12.3"
"2011","Apr","Los Angeles County","Adj","Not Prelim","12.3"
"2011","May","Los Angeles County","Adj","Not Prelim","12.3"
"2011","Jun","Los Angeles County","Adj","Not Prelim","12.4"
"2011","Jul","Los Angeles County","Adj","Not Prelim","12.4"
"2011","Aug","Los Angeles County","Adj","Not Prelim","12.3"
"2011","Sep","Los Angeles County","Adj","Not Prelim","12.2"
"2011","Oct","Los Angeles County","Adj","Not Prelim","12.1"
"2011","Nov","Los Angeles County","Adj","Not Prelim","11.9"
"2011","Dec","Los Angeles County","Adj","Not Prelim","11.8"
"2010","Jan","Los Angeles County","Adj","Not Prelim","12.6"
"2010","Feb","Los Angeles County","Adj","Not Prelim","12.6"
"2010","Mar","Los Angeles County","Adj","Not Prelim","12.6"
"2010","Apr","Los Angeles County","Adj","Not Prelim","12.6"
"2010","May","Los Angeles County","Adj","Not Prelim","12.5"
"2010","Jun","Los Angeles County","Adj","Not Prelim","12.5"
"2010","Jul","Los Angeles County","Adj","Not Prelim","12.5"
"2010","Aug","Los Angeles County","Adj","Not Prelim","12.5"
"2010","Sep","Los Angeles County","Adj","Not Prelim","12.6"
"2010","Oct","Los Angeles County","Adj","Not Prelim","12.6"
"2010","Nov","Los Angeles County","Adj","Not Prelim","12.6"
"2010","Dec","Los Angeles County","Adj","Not Prelim","12.5"
"2009","Jan","Los Angeles County","Adj","Not Prelim","10.3"
"2009","Feb","Los Angeles County","Adj","Not Prelim","10.7"
"2009","Mar","Los Angeles County","Adj","Not Prelim","11.1"
"2009","Apr","Los Angeles County","Adj","Not Prelim","11.4"
"2009","May","Los Angeles County","Adj","Not Prelim","11.7"
"2009","Jun","Los Angeles County","Adj","Not Prelim","11.9"
"2009","Jul","Los Angeles County","Adj","Not Prelim","12.0"
"2009","Aug","Los Angeles County","Adj","Not Prelim","12.2"
"2009","Sep","Los Angeles County","Adj","Not Prelim","12.3"
"2009","Oct","Los Angeles County","Adj","Not Prelim","12.4"
"2009","Nov","Los Angeles County","Adj","Not Prelim","12.4"
"2009","Dec","Los Angeles County","Adj","Not Prelim","12.5"
"2008","Jan","Los Angeles County","Adj","Not Prelim","5.9"
"2008","Feb","Los Angeles County","Adj","Not Prelim","6.1"
"2008","Mar","Los Angeles County","Adj","Not Prelim","6.3"
"2008","Apr","Los Angeles County","Adj","Not Prelim","6.6"
"2008","May","Los Angeles County","Adj","Not Prelim","6.9"
"2008","Jun","Los Angeles County","Adj","Not Prelim","7.3"
"2008","Jul","Los Angeles County","Adj","Not Prelim","7.6"
"2008","Aug","Los Angeles County","Adj","Not Prelim","8.0"
"2008","Sep","Los Angeles County","Adj","Not Prelim","8.3"
"2008","Oct","Los Angeles County","Adj","Not Prelim","8.8"
"2008","Nov","Los Angeles County","Adj","Not Prelim","9.2"
"2008","Dec","Los Angeles County","Adj","Not Prelim","9.8"
"2007","Jan","Los Angeles County","Adj","Not Prelim","4.7"
"2007","Feb","Los Angeles County","Adj","Not Prelim","4.8"
"2007","Mar","Los Angeles County","Adj","Not Prelim","4.8"
"2007","Apr","Los Angeles County","Adj","Not Prelim","4.9"
"2007","May","Los Angeles County","Adj","Not Prelim","4.9"
"2007","Jun","Los Angeles County","Adj","Not Prelim","5.0"
"2007","Jul","Los Angeles County","Adj","Not Prelim","5.1"
"2007","Aug","Los Angeles County","Adj","Not Prelim","5.2"
"2007","Sep","Los Angeles County","Adj","Not Prelim","5.3"
"2007","Oct","Los Angeles County","Adj","Not Prelim","5.5"
"2007","Nov","Los Angeles County","Adj","Not Prelim","5.6"
"2007","Dec","Los Angeles County","Adj","Not Prelim","5.7"
"2006","Jan","Los Angeles County","Adj","Not Prelim","5.0"
"2006","Feb","Los Angeles County","Adj","Not Prelim","4.9"
"2006","Mar","Los Angeles County","Adj","Not Prelim","4.9"
"2006","Apr","Los Angeles County","Adj","Not Prelim","4.8"
"2006","May","Los Angeles County","Adj","Not Prelim","4.8"
"2006","Jun","Los Angeles County","Adj","Not Prelim","4.8"
"2006","Jul","Los Angeles County","Adj","Not Prelim","4.8"
"2006","Aug","Los Angeles County","Adj","Not Prelim","4.7"
"2006","Sep","Los Angeles County","Adj","Not Prelim","4.7"
"2006","Oct","Los Angeles County","Adj","Not Prelim","4.7"
"2006","Nov","Los Angeles County","Adj","Not Prelim","4.7"
"2006","Dec","Los Angeles County","Adj","Not Prelim","4.7"
"2005","Jan","Los Angeles County","Adj","Not Prelim","5.9"
"2005","Feb","Los Angeles County","Adj","Not Prelim","5.8"
"2005","Mar","Los Angeles County","Adj","Not Prelim","5.6"
"2005","Apr","Los Angeles County","Adj","Not Prelim","5.5"
"2005","May","Los Angeles County","Adj","Not Prelim","5.3"
"2005","Jun","Los Angeles County","Adj","Not Prelim","5.2"
"2005","Jul","Los Angeles County","Adj","Not Prelim","5.1"
"2005","Aug","Los Angeles County","Adj","Not Prelim","5.1"
"2005","Sep","Los Angeles County","Adj","Not Prelim","5.1"
"2005","Oct","Los Angeles County","Adj","Not Prelim","5.1"
"2005","Nov","Los Angeles County","Adj","Not Prelim","5.1"
"2005","Dec","Los Angeles County","Adj","Not Prelim","5.0"
"2004","Jan","Los Angeles County","Adj","Not Prelim","6.8"
"2004","Feb","Los Angeles County","Adj","Not Prelim","6.7"
"2004","Mar","Los Angeles County","Adj","Not Prelim","6.7"
"2004","Apr","Los Angeles County","Adj","Not Prelim","6.7"
"2004","May","Los Angeles County","Adj","Not Prelim","6.6"
"2004","Jun","Los Angeles County","Adj","Not Prelim","6.6"
"2004","Jul","Los Angeles County","Adj","Not Prelim","6.5"
"2004","Aug","Los Angeles County","Adj","Not Prelim","6.4"
"2004","Sep","Los Angeles County","Adj","Not Prelim","6.3"
"2004","Oct","Los Angeles County","Adj","Not Prelim","6.2"
"2004","Nov","Los Angeles County","Adj","Not Prelim","6.1"
"2004","Dec","Los Angeles County","Adj","Not Prelim","6.0"
"2003","Jan","Los Angeles County","Adj","Not Prelim","6.8"
"2003","Feb","Los Angeles County","Adj","Not Prelim","6.9"
"2003","Mar","Los Angeles County","Adj","Not Prelim","6.9"
