,county,date,labor_force,employment,unemployment,unemployment_rate
18998,Santa Cruz,2019-10-01,141400,136200,5200,0.037
18999,Shasta,2019-10-01,73900,70800,3100,0.041
19000,Sierra,2019-10-01,1370,1320,60,0.042
19001,Siskiyou,2019-10-01,17560,16730,840,0.048
19002,Solano,2019-10-01,207500,200300,7300,0.035
19003,Sonoma,2019-10-01,259700,253300,6400,0.025
19004,Stanislaus,2019-10-01,242300,229600,12700,0.052
19005,Sutter,2019-10-01,46100,43500,2600,0.056
19006,Tehama,2019-10-01,26090,24860,1240,0.047
19007,Trinity,2019-10-01,4630,4420,220,0.046
19008,Tulare,2019-10-01,199200,181800,17400,0.087
19009,Tuolumne,2019-10-01,20650,19820,830,0.04
19010,Ventura,2019-10-01,421600,406700,14900,0.035
19011,Yolo,2019-10-01,108000,104200,3800,0.035
19012,Yuba,2019-10-01,30200,28600,1600,0.052
20007,Alameda,2019-09-01,843700,820700,23100,0.027
20008,Alpine,2019-09-01,470,450,20,0.051
20009,Amador,2019-09-01,14960,14480,480,0.032
20010,Butte,2019-09-01,98200,94200,4000,0.041
20011,Calaveras,2019-09-01,21670,20980,690,0.032
20012,Colusa,2019-09-01,10990,10210,780,0.071
20013,Contra Costa,2019-09-01,561300,545500,15900,0.028
20014,Del Norte,2019-09-01,9760,9270,490,0.05
20015,El Dorado,2019-09-01,92300,89500,2800,0.03
20016,Fresno,2019-09-01,451400,425400,26000,0.058
20017,Glenn,2019-09-01,13290,12660,630,0.047
20018,Humboldt,2019-09-01,62400,60500,1900,0.03
20019,Imperial,2019-09-01,74700,57800,16800,0.225
20020,Inyo,2019-09-01,8840,8590,250,0.028
20021,Kern,2019-09-01,394200,369000,25200,0.064
20022,Kings,2019-09-01,57700,54200,3500,0.061
20023,Lake,2019-09-01,29010,27810,1200,0.041
20024,Lassen,2019-09-01,9580,9250,340,0.035
20026,Los Angeles,2019-09-01,5175300,4942500,232800,0.045
20027,Madera,2019-09-01,62600,59200,3400,0.054
20028,Marin,2019-09-01,139300,136300,3000,0.021
20029,Mariposa,2019-09-01,8040,7780,260,0.032
20030,Mendocino,2019-09-01,38810,37580,1230,0.032
20031,Merced,2019-09-01,117300,110300,7000,0.06
20032,Modoc,2019-09-01,3190,3040,150,0.047
20033,Mono,2019-09-01,8330,8040,290,0.035
20034,Monterey,2019-09-01,227200,218800,8400,0.037
20035,Napa,2019-09-01,74900,73100,1700,0.023
20036,Nevada,2019-09-01,48050,46660,1390,0.029
20037,Orange,2019-09-01,1616500,1574400,42000,0.026
20038,Placer,2019-09-01,189200,183900,5300,0.028
20039,Plumas,2019-09-01,8120,7730,390,0.048
20040,Riverside,2019-09-01,1104300,1059000,45300,0.041
20041,Sacramento,2019-09-01,712100,688300,23800,0.033
20042,San Benito,2019-09-01,32100,30900,1200,0.039
20043,San Bernardino,2019-09-01,963400,928700,34700,0.036
20044,San Diego,2019-09-01,1579400,1532200,47200,0.03
20045,San Francisco,2019-09-01,584100,572600,11500,0.02
20046,San Joaquin,2019-09-01,326600,310100,16500,0.05
20047,San Luis Obispo,2019-09-01,138700,135100,3600,0.026
20048,San Mateo,2019-09-01,460100,451500,8600,0.019
20049,Santa Barbara,2019-09-01,222000,215400,6600,0.03
20050,Santa Clara,2019-09-01,1050200,1025700,24500,0.023
20051,Santa Cruz,2019-09-01,142300,137500,4900,0.034
20052,Shasta,2019-09-01,73300,70400,2800,0.039
20053,Sierra,2019-09-01,1400,1340,50,0.038
20054,Siskiyou,2019-09-01,17500,16690,800,0.046
20055,Solano,2019-09-01,208700,201800,6900,0.033
20056,Sonoma,2019-09-01,261000,254900,6100,0.024
20057,Stanislaus,2019-09-01,245000,232900,12100,0.05
20058,Sutter,2019-09-01,45300,42900,2400,0.052
20059,Tehama,2019-09-01,26050,24860,1190,0.046
20060,Trinity,2019-09-01,4680,4490,190,0.04
20061,Tulare,2019-09-01,202100,185500,16600,0.082
20062,Tuolumne,2019-09-01,20980,20190,790,0.038
20063,Ventura,2019-09-01,420200,405800,14400,0.034
20064,Yolo,2019-09-01,108100,104500,3600,0.033
20065,Yuba,2019-09-01,29800,28300,1500,0.051
21060,Alameda,2019-08-01,841500,814700,26800,0.032
21061,Alpine,2019-08-01,480,450,30,0.058
21062,Amador,2019-08-01,15000,14440,560,0.037
21063,Butte,2019-08-01,95900,91100,4800,0.05
21064,Calaveras,2019-08-01,21820,21020,800,0.037
21065,Colusa,2019-08-01,11410,10480,930,0.081
21066,Contra Costa,2019-08-01,559800,541500,18400,0.033
21067,Del Norte,2019-08-01,9730,9170,560,0.058
21068,El Dorado,2019-08-01,92200,88900,3300,0.036
21069,Fresno,2019-08-01,449800,420100,29700,0.066
21070,Glenn,2019-08-01,12950,12170,780,0.06
21071,Humboldt,2019-08-01,61300,59000,2300,0.038
21072,Imperial,2019-08-01,75300,56500,18800,0.25
21073,Inyo,2019-08-01,8910,8620,290,0.033
21074,Kern,2019-08-01,394100,365100,29000,0.074
21075,Kings,2019-08-01,57700,53700,4000,0.07
21076,Lake,2019-08-01,29190,27840,1350,0.046
21077,Lassen,2019-08-01,9480,9070,410,0.043
21078,Los Angeles,2019-08-01,5095100,4840900,254200,0.05
21080,Madera,2019-08-01,62100,58100,3900,0.063
21081,Marin,2019-08-01,139100,135700,3500,0.025
21082,Mariposa,2019-08-01,8040,7750,290,0.037
21083,Mendocino,2019-08-01,38760,37320,1440,0.037
21084,Merced,2019-08-01,114700,106400,8400,0.073
21085,Modoc,2019-08-01,3270,3080,180,0.055
21086,Mono,2019-08-01,8570,8260,310,0.037
21087,Monterey,2019-08-01,227600,217800,9800,0.043
21088,Napa,2019-08-01,74600,72600,2000,0.027
21089,Nevada,2019-08-01,48290,46660,1630,0.034
21090,Orange,2019-08-01,1604200,1555700,48500,0.03
21091,Placer,2019-08-01,188800,182700,6100,0.032
21092,Plumas,2019-08-01,8390,7920,470,0.056
21093,Riverside,2019-08-01,1099100,1047700,51400,0.047
21094,Sacramento,2019-08-01,711700,684100,27600,0.039
21095,San Benito,2019-08-01,32200,30800,1400,0.044
21096,San Bernardino,2019-08-01,958700,919000,39700,0.041
21097,San Diego,2019-08-01,1576100,1521700,54400,0.035
21098,San Francisco,2019-08-01,582800,569200,13600,0.023
21099,San Joaquin,2019-08-01,326800,308000,18800,0.058
21100,San Luis Obispo,2019-08-01,138200,134000,4200,0.03
21101,San Mateo,2019-08-01,458800,448800,10000,0.022
21102,Santa Barbara,2019-08-01,221400,214000,7400,0.033
21103,Santa Clara,2019-08-01,1050400,1022300,28000,0.027
21104,Santa Cruz,2019-08-01,143100,137400,5700,0.04
21105,Shasta,2019-08-01,73100,69900,3200,0.044
21106,Sierra,2019-08-01,1350,1290,60,0.045
21107,Siskiyou,2019-08-01,17560,16620,940,0.054
21108,Solano,2019-08-01,207700,199700,8000,0.038
21109,Sonoma,2019-08-01,258700,251600,7100,0.028
21110,Stanislaus,2019-08-01,243400,229300,14100,0.058
21111,Sutter,2019-08-01,46600,43900,2700,0.059
21112,Tehama,2019-08-01,25510,24090,1420,0.056
21113,Trinity,2019-08-01,4850,4640,220,0.044
21114,Tulare,2019-08-01,203100,184200,18900,0.093
21115,Tuolumne,2019-08-01,21010,20110,900,0.043
21116,Ventura,2019-08-01,417900,401600,16300,0.039
21117,Yolo,2019-08-01,108500,104300,4200,0.039
21118,Yuba,2019-08-01,29900,28200,1700,0.058
22113,Alameda,2019-07-01,846200,818100,28000,0.033
22114,Alpine,2019-07-01,480,450,40,0.072
22115,Amador,2019-07-01,14910,14310,600,0.04
22116,Butte,2019-07-01,95300,90000,5300,0.056
22117,Calaveras,2019-07-01,21730,20890,840,0.039
22118,Colusa,2019-07-01,10890,9770,1120,0.103
22119,Contra Costa,2019-07-01,563100,543700,19400,0.034
22120,Del Norte,2019-07-01,9600,9030,570,0.06
22121,El Dorado,2019-07-01,92500,89000,3500,0.037
22122,Fresno,2019-07-01,449400,416800,32700,0.073
22123,Glenn,2019-07-01,12910,12070,840,0.065
22124,Humboldt,2019-07-01,61200,58700,2500,0.04
22125,Imperial,2019-07-01,72600,56200,16400,0.226
22126,Inyo,2019-07-01,8920,8610,320,0.035
22127,Kern,2019-07-01,381900,349500,32500,0.085
22128,Kings,2019-07-01,58100,53600,4500,0.077
22129,Lake,2019-07-01,28710,27240,1470,0.051
22130,Lassen,2019-07-01,9490,9040,450,0.048
22132,Los Angeles,2019-07-01,5128900,4866600,262300,0.051
22133,Madera,2019-07-01,61400,57000,4400,0.072
22134,Marin,2019-07-01,140100,136500,3600,0.026
22135,Mariposa,2019-07-01,8120,7800,320,0.039
22136,Mendocino,2019-07-01,38850,37310,1540,0.04
22137,Merced,2019-07-01,112900,103400,9500,0.084
22138,Modoc,2019-07-01,3280,3070,200,0.061
22139,Mono,2019-07-01,8680,8350,330,0.038
22140,Monterey,2019-07-01,230100,219200,10900,0.047
22141,Napa,2019-07-01,75300,73100,2200,0.029
22142,Nevada,2019-07-01,48440,46720,1720,0.036
22143,Orange,2019-07-01,1617100,1566200,50800,0.031
22144,Placer,2019-07-01,189400,183000,6400,0.034
22145,Plumas,2019-07-01,8460,7940,520,0.062
22146,Riverside,2019-07-01,1104400,1052200,52100,0.047
22147,Sacramento,2019-07-01,714100,685000,29100,0.041
22148,San Benito,2019-07-01,32500,30900,1600,0.049
22149,San Bernardino,2019-07-01,963300,920700,42600,0.044
22150,San Diego,2019-07-01,1585800,1528700,57200,0.036
22151,San Francisco,2019-07-01,584900,570700,14200,0.024
22152,San Joaquin,2019-07-01,326000,305800,20200,0.062
22153,San Luis Obispo,2019-07-01,139200,134700,4500,0.032
22154,San Mateo,2019-07-01,460600,450000,10600,0.023
22155,Santa Barbara,2019-07-01,224000,216000,8000,0.036
22156,Santa Clara,2019-07-01,1055300,1026100,29200,0.028
22157,Santa Cruz,2019-07-01,143800,137500,6300,0.044
22158,Shasta,2019-07-01,72300,68800,3500,0.049
22159,Sierra,2019-07-01,1380,1310,70,0.049
22160,Siskiyou,2019-07-01,17900,16870,1030,0.057
22161,Solano,2019-07-01,208700,200200,8600,0.041
22162,Sonoma,2019-07-01,258600,250900,7600,0.03
22163,Stanislaus,2019-07-01,244400,228600,15800,0.064
22164,Sutter,2019-07-01,46400,43200,3200,0.068
22165,Tehama,2019-07-01,25430,23900,1530,0.06
22166,Trinity,2019-07-01,4830,4600,230,0.048
22167,Tulare,2019-07-01,200300,180300,20000,0.1
22168,Tuolumne,2019-07-01,21220,20240,980,0.046
22169,Ventura,2019-07-01,421500,405200,16400,0.039
22170,Yolo,2019-07-01,109100,104400,4600,0.043
22171,Yuba,2019-07-01,29600,27800,1800,0.062
23166,Alameda,2019-06-01,837800,811300,26400,0.032
23167,Alpine,2019-06-01,490,460,40,0.071
23168,Amador,2019-06-01,14930,14360,570,0.038
23169,Butte,2019-06-01,96500,91300,5200,0.054
23170,Calaveras,2019-06-01,21330,20510,820,0.038
23171,Colusa,2019-06-01,10920,9730,1190,0.109
23172,Contra Costa,2019-06-01,557200,538900,18300,0.033
23173,Del Norte,2019-06-01,9690,9160,530,0.055
23174,El Dorado,2019-06-01,91500,88200,3300,0.037
23175,Fresno,2019-06-01,451700,419600,32100,0.071
23176,Glenn,2019-06-01,12920,12110,810,0.063
23177,Humboldt,2019-06-01,61800,59500,2300,0.037
23178,Imperial,2019-06-01,74200,58900,15400,0.207
23179,Inyo,2019-06-01,8780,8470,310,0.035
23180,Kern,2019-06-01,389300,357800,31400,0.081
23181,Kings,2019-06-01,57400,52800,4600,0.08
23182,Lake,2019-06-01,29260,27820,1440,0.049
23183,Lassen,2019-06-01,9540,9090,450,0.047
23184,Los Angeles,2019-06-01,5070600,4836100,234500,0.046
23186,Madera,2019-06-01,62200,57900,4300,0.069
23187,Marin,2019-06-01,138000,134600,3400,0.025
23188,Mariposa,2019-06-01,7780,7460,320,0.041
23189,Mendocino,2019-06-01,38770,37300,1470,0.038
23190,Merced,2019-06-01,114900,105400,9500,0.082
23191,Modoc,2019-06-01,3350,3160,190,0.058
23192,Mono,2019-06-01,8250,7910,340,0.041
23193,Monterey,2019-06-01,230200,219000,11200,0.048
23194,Napa,2019-06-01,74600,72500,2100,0.028
23195,Nevada,2019-06-01,48240,46590,1650,0.034
23196,Orange,2019-06-01,1603500,1555400,48000,0.03
23197,Placer,2019-06-01,187500,181400,6100,0.033
23198,Plumas,2019-06-01,8300,7790,510,0.062
23199,Riverside,2019-06-01,1096400,1048000,48400,0.044
23200,Sacramento,2019-06-01,707100,679500,27700,0.039
23201,San Benito,2019-06-01,32100,30500,1500,0.048
23202,San Bernardino,2019-06-01,956300,916400,39900,0.042
23203,San Diego,2019-06-01,1573300,1519300,54000,0.034
23204,San Francisco,2019-06-01,576000,562400,13700,0.024
23205,San Joaquin,2019-06-01,325900,306600,19300,0.059
23206,San Luis Obispo,2019-06-01,141000,136700,4300,0.03
23207,San Mateo,2019-06-01,453300,443300,10000,0.022
23208,Santa Barbara,2019-06-01,224400,216700,7600,0.034
23209,Santa Clara,2019-06-01,1042700,1014800,28000,0.027
23210,Santa Cruz,2019-06-01,143500,137200,6300,0.044
23211,Shasta,2019-06-01,72900,69500,3400,0.047
23212,Sierra,2019-06-01,1350,1290,70,0.05
23213,Siskiyou,2019-06-01,17480,16460,1010,0.058
23214,Solano,2019-06-01,208000,199800,8200,0.039
23215,Sonoma,2019-06-01,255300,248000,7300,0.028
23216,Stanislaus,2019-06-01,241800,226200,15600,0.064
23217,Sutter,2019-06-01,46200,42900,3300,0.071
23218,Tehama,2019-06-01,25610,24140,1470,0.057
23219,Trinity,2019-06-01,4930,4690,240,0.048
23220,Tulare,2019-06-01,204300,185300,19000,0.093
23221,Tuolumne,2019-06-01,21010,20060,950,0.045
23222,Ventura,2019-06-01,419500,404100,15300,0.037
23223,Yolo,2019-06-01,107800,103400,4400,0.041
23224,Yuba,2019-06-01,29600,27900,1800,0.06
24219,Alameda,2019-05-01,835900,813900,22000,0.026
24220,Alpine,2019-05-01,470,440,30,0.059
24221,Amador,2019-05-01,14860,14370,500,0.034
24222,Butte,2019-05-01,98400,94000,4400,0.045
24223,Calaveras,2019-05-01,21120,20410,710,0.033
24224,Colusa,2019-05-01,11170,10000,1170,0.105
24225,Contra Costa,2019-05-01,555800,540600,15200,0.027
24226,Del Norte,2019-05-01,9550,9070,480,0.05
24227,El Dorado,2019-05-01,91400,88500,2900,0.031
24228,Fresno,2019-05-01,452600,423100,29500,0.065
24229,Glenn,2019-05-01,12890,12160,740,0.057
24230,Humboldt,2019-05-01,62200,60300,1900,0.031
24231,Imperial,2019-05-01,72600,59000,13600,0.188
24232,Inyo,2019-05-01,8660,8400,260,0.03
24233,Kern,2019-05-01,385200,356700,28400,0.074
24234,Kings,2019-05-01,58200,54200,4000,0.069
24235,Lake,2019-05-01,29150,27900,1250,0.043
24236,Lassen,2019-05-01,9600,9210,400,0.041
24237,Los Angeles,2019-05-01,5088000,4877200,210800,0.041
24239,Madera,2019-05-01,62400,58500,3900,0.062
24240,Marin,2019-05-01,137400,134600,2800,0.02
24241,Mariposa,2019-05-01,7660,7370,290,0.038
24242,Mendocino,2019-05-01,38640,37360,1280,0.033
24243,Merced,2019-05-01,116700,108100,8600,0.073
24244,Modoc,2019-05-01,3220,3040,180,0.057
24245,Mono,2019-05-01,8010,7730,280,0.035
24246,Monterey,2019-05-01,228000,216800,11200,0.049
24247,Napa,2019-05-01,74000,72200,1700,0.023
24248,Nevada,2019-05-01,47750,46310,1440,0.03
24249,Orange,2019-05-01,1604900,1565200,39700,0.025
24250,Placer,2019-05-01,187200,182000,5200,0.028
24251,Plumas,2019-05-01,8000,7490,510,0.064
24252,Riverside,2019-05-01,1091700,1051800,39900,0.037
24253,Sacramento,2019-05-01,704600,681400,23200,0.033
24254,San Benito,2019-05-01,31900,30500,1400,0.045
24255,San Bernardino,2019-05-01,953600,920900,32700,0.034
24256,San Diego,2019-05-01,1569000,1524400,44600,0.028
24257,San Francisco,2019-05-01,574000,562800,11200,0.02
24258,San Joaquin,2019-05-01,327000,309900,17100,0.052
24259,San Luis Obispo,2019-05-01,140900,137500,3500,0.025
24260,San Mateo,2019-05-01,451900,443700,8200,0.018
24261,Santa Barbara,2019-05-01,222700,216200,6500,0.029
24262,Santa Clara,2019-05-01,1038100,1015200,22900,0.022
24263,Santa Cruz,2019-05-01,141200,135300,5900,0.042
24264,Shasta,2019-05-01,72400,69400,3000,0.041
24265,Sierra,2019-05-01,1330,1260,70,0.05
24266,Siskiyou,2019-05-01,16990,16060,930,0.055
24267,Solano,2019-05-01,207500,200500,7000,0.034
24268,Sonoma,2019-05-01,255600,249600,6100,0.024
24269,Stanislaus,2019-05-01,241900,228200,13700,0.057
24270,Sutter,2019-05-01,45400,42300,3100,0.068
24271,Tehama,2019-05-01,25320,24030,1300,0.051
24272,Trinity,2019-05-01,4750,4530,220,0.045
24273,Tulare,2019-05-01,204800,187400,17400,0.085
24274,Tuolumne,2019-05-01,20820,19990,840,0.04
24275,Ventura,2019-05-01,421100,408300,12800,0.03
24276,Yolo,2019-05-01,107200,103500,3700,0.035
24277,Yuba,2019-05-01,29400,27800,1600,0.055
25272,Alameda,2019-04-01,834500,812200,22200,0.027
25273,Alpine,2019-04-01,580,560,20,0.039
25274,Amador,2019-04-01,14750,14200,550,0.037
25275,Butte,2019-04-01,98400,93500,4900,0.05
25276,Calaveras,2019-04-01,20960,20180,780,0.037
25277,Colusa,2019-04-01,11150,9460,1700,0.152
25278,Contra Costa,2019-04-01,555200,539500,15700,0.028
25279,Del Norte,2019-04-01,9520,9000,520,0.055
25280,El Dorado,2019-04-01,91300,88200,3100,0.034
25281,Fresno,2019-04-01,450300,416300,34000,0.076
25282,Glenn,2019-04-01,12920,12090,830,0.064
25283,Humboldt,2019-04-01,62100,59900,2200,0.035
25284,Imperial,2019-04-01,70300,58100,12200,0.174
25285,Inyo,2019-04-01,8600,8290,310,0.036
25286,Kern,2019-04-01,383400,352000,31500,0.082
25287,Kings,2019-04-01,57600,52900,4800,0.083
25288,Lake,2019-04-01,29100,27640,1450,0.05
25289,Lassen,2019-04-01,9540,9060,480,0.05
25290,Los Angeles,2019-04-01,5062700,4853500,209200,0.041
25292,Madera,2019-04-01,61000,56500,4500,0.074
25293,Marin,2019-04-01,137100,134200,2900,0.021
25294,Mariposa,2019-04-01,7360,7010,360,0.048
25295,Mendocino,2019-04-01,38620,37050,1580,0.041
25296,Merced,2019-04-01,115300,105200,10100,0.087
25297,Modoc,2019-04-01,3100,2860,240,0.079
25298,Mono,2019-04-01,8610,8340,270,0.031
25299,Monterey,2019-04-01,223200,207400,15800,0.071
25300,Napa,2019-04-01,72300,70300,1900,0.027
25301,Nevada,2019-04-01,48300,46740,1560,0.032
25302,Orange,2019-04-01,1604100,1563600,40400,0.025
25303,Placer,2019-04-01,186800,181400,5500,0.029
25304,Plumas,2019-04-01,7630,6880,740,0.097
25305,Riverside,2019-04-01,1092800,1051900,40900,0.037
25306,Sacramento,2019-04-01,703200,679000,24200,0.034
25307,San Benito,2019-04-01,32000,30400,1600,0.051
25308,San Bernardino,2019-04-01,954900,921700,33200,0.035
25309,San Diego,2019-04-01,1568300,1522600,45800,0.029
25310,San Francisco,2019-04-01,573900,562300,11600,0.02
25311,San Joaquin,2019-04-01,322200,303300,18900,0.059
25312,San Luis Obispo,2019-04-01,140400,136700,3600,0.026
25313,San Mateo,2019-04-01,451700,443400,8400,0.019
25314,Santa Barbara,2019-04-01,223100,215600,7500,0.033
25315,Santa Clara,2019-04-01,1036400,1012900,23400,0.023
25316,Santa Cruz,2019-04-01,140200,132300,7900,0.056
25317,Shasta,2019-04-01,71900,68500,3500,0.048
25318,Sierra,2019-04-01,1270,1190,80,0.063
25319,Siskiyou,2019-04-01,16800,15590,1210,0.072
25320,Solano,2019-04-01,207500,200100,7400,0.036
25321,Sonoma,2019-04-01,254200,247700,6400,0.025
25322,Stanislaus,2019-04-01,240600,225700,14800,0.062
25323,Sutter,2019-04-01,44900,41100,3800,0.084
25324,Tehama,2019-04-01,25170,23720,1440,0.057
25325,Trinity,2019-04-01,4600,4330,270,0.059
25326,Tulare,2019-04-01,203300,183100,20200,0.099
25327,Tuolumne,2019-04-01,20840,19880,960,0.046
25328,Ventura,2019-04-01,421100,407800,13300,0.032
25329,Yolo,2019-04-01,107000,102800,4200,0.039
25330,Yuba,2019-04-01,29300,27500,1800,0.062
