,area_type,area_name,date,year,month,seasonally_adjusted_y_n,status_preliminary_final,labor_force,employment,unemployment,unemployment_rate
60,Metro Division,"Oakland-Hayward-Berkeley, CA Met Div",2021-04-01T00:00:00.000,2021,April,Y,Prelim,1339609,1249200,90409,0.067
61,Metro Division,"San Francisco-Redwood City-South San Francisco, CA Met Div",2021-04-01T00:00:00.000,2021,April,Y,Prelim,966065,913105,52960,0.055
62,Metro Division,"San Rafael, CA Met Div",2021-04-01T00:00:00.000,2021,April,Y,Prelim,131561,124944,6617,0.05
63,Metropolitan Area,Anaheim-Santa Ana-Irvine MD,2021-04-01T00:00:00.000,2021,April,N,Preliminary,1536000,1440500,95500,0.062
64,Metropolitan Area,Bakersfield MSA,2021-04-01T00:00:00.000,2021,April,N,Preliminary,372700,332600,40100,0.107
65,Metropolitan Area,Chico MSA,2021-04-01T00:00:00.000,2021,April,N,Preliminary,91500,85000,6500,0.071
66,Metropolitan Area,El Centro MSA,2021-04-01T00:00:00.000,2021,April,N,Preliminary,64900,54500,10500,0.161
67,Metropolitan Area,Fresno MSA,2021-04-01T00:00:00.000,2021,April,N,Preliminary,436700,394700,42100,0.096
68,Metropolitan Area,Hanford-Corcoran MSA,2021-04-01T00:00:00.000,2021,April,N,Preliminary,54700,49100,5600,0.102
69,Metropolitan Area,Los Angeles-Long Beach-Glendale MD,2021-04-01T00:00:00.000,2021,April,N,Preliminary,5110500,4548100,562400,0.11
70,Metropolitan Area,Los Angeles-Long Beach-Glendale MD,2021-04-01T00:00:00.000,2021,April,Y,Preliminary,5136200,4534700,601600,0.117
71,Metropolitan Area,Madera MSA,2021-04-01T00:00:00.000,2021,April,N,Preliminary,60200,54500,5700,0.095
72,Metropolitan Area,Merced MSA,2021-04-01T00:00:00.000,2021,April,N,Preliminary,114100,101600,12500,0.109
73,Metropolitan Area,Modesto MSA,2021-04-01T00:00:00.000,2021,April,N,Preliminary,237800,217300,20400,0.086
74,Metropolitan Area,Napa MSA,2021-04-01T00:00:00.000,2021,April,N,Preliminary,67700,63500,4200,0.063
75,Metropolitan Area,Oakland-Hayward-Berkeley MD,2021-04-01T00:00:00.000,2021,April,N,Preliminary,1325400,1240000,85400,0.064
76,Metropolitan Area,Oxnard-Thousand Oaks-Ventura MSA,2021-04-01T00:00:00.000,2021,April,N,Preliminary,405200,380100,25000,0.062
77,Metropolitan Area,Redding MSA,2021-04-01T00:00:00.000,2021,April,N,Preliminary,72500,67400,5100,0.07
78,Metropolitan Area,Riverside-San Bernardino-Ontario MSA,2021-04-01T00:00:00.000,2021,April,N,Preliminary,2064900,1907300,157600,0.076
79,Metropolitan Area,Sacramento--Roseville--Arden-Arcade MSA,2021-04-01T00:00:00.000,2021,April,N,Preliminary,1079000,1007300,71700,0.066
80,Metropolitan Area,Salinas MSA,2021-04-01T00:00:00.000,2021,April,N,Preliminary,215600,197000,18600,0.086
81,Metropolitan Area,San Diego-Carlsbad MSA,2021-04-01T00:00:00.000,2021,April,N,Preliminary,1517500,1415400,102100,0.067
82,Metropolitan Area,San Francisco-Redwood City-South San Francisco MD,2021-04-01T00:00:00.000,2021,April,N,Preliminary,964500,915000,49500,0.051
83,Metropolitan Area,San Jose-Sunnyvale-Santa Clara MSA,2021-04-01T00:00:00.000,2021,April,N,Preliminary,1034800,982600,52300,0.051
84,Metropolitan Area,San Luis Obispo-Paso Robles-Arroyo Grande MSA,2021-04-01T00:00:00.000,2021,April,N,Preliminary,128300,121100,7200,0.056
85,Metropolitan Area,San Rafael MD,2021-04-01T00:00:00.000,2021,April,N,Preliminary,129600,123600,6000,0.046
86,Metropolitan Area,Santa Cruz-Watsonville MSA,2021-04-01T00:00:00.000,2021,April,N,Preliminary,129400,119400,10000,0.077
87,Metropolitan Area,Santa Maria-Santa Barbara MSA,2021-04-01T00:00:00.000,2021,April,N,Preliminary,216300,203300,12900,0.06
88,Metropolitan Area,Santa Rosa MSA,2021-04-01T00:00:00.000,2021,April,N,Preliminary,238300,224600,13700,0.057
89,Metropolitan Area,Stockton-Lodi MSA,2021-04-01T00:00:00.000,2021,April,N,Preliminary,328100,298700,29500,0.09
90,Metropolitan Area,Vallejo-Fairfield MSA,2021-04-01T00:00:00.000,2021,April,N,Preliminary,199300,184200,15100,0.076
91,Metropolitan Area,Visalia-Porterville MSA,2021-04-01T00:00:00.000,2021,April,N,Preliminary,196900,175100,21700,0.11
92,Metropolitan Area,Yuba City MSA,2021-04-01T00:00:00.000,2021,April,N,Preliminary,73000,66200,6800,0.094
93,MSA,"Bakersfield, CA MSA",2021-04-01T00:00:00.000,2021,April,Y,Prelim,379738,341606,38132,0.1
94,MSA,"Chico, CA MSA",2021-04-01T00:00:00.000,2021,April,Y,Prelim,91900,85650,6250,0.068
95,MSA,"El Centro, CA MSA",2021-04-01T00:00:00.000,2021,April,Y,Prelim,65821,53977,11844,0.18
96,MSA,"Fresno, CA MSA",2021-04-01T00:00:00.000,2021,April,Y,Prelim,447564,403344,44220,0.099
97,MSA,"Hanford-Corcoran, CA MSA",2021-04-01T00:00:00.000,2021,April,Y,Prelim,55681,50156,5525,0.099
98,MSA,"Los Angeles-Long Beach-Anaheim, CA MSA",2021-04-01T00:00:00.000,2021,April,Y,Prelim,6617399,5953196,664203,0.1
99,MSA,"Madera, CA MSA",2021-04-01T00:00:00.000,2021,April,Y,Prelim,61561,56238,5323,0.086
100,MSA,"Merced, CA MSA",2021-04-01T00:00:00.000,2021,April,Y,Prelim,114619,103169,11450,0.1
101,MSA,"Modesto, CA MSA",2021-04-01T00:00:00.000,2021,April,Y,Prelim,239915,219843,20072,0.084
102,MSA,"Napa, CA MSA",2021-04-01T00:00:00.000,2021,April,Y,Prelim,68630,64194,4436,0.065
103,MSA,"Oxnard-Thousand Oaks-Ventura, CA MSA",2021-04-01T00:00:00.000,2021,April,Y,Prelim,405176,378288,26888,0.066
104,MSA,"Redding, CA MSA",2021-04-01T00:00:00.000,2021,April,Y,Prelim,73165,68343,4822,0.066
105,MSA,"Riverside-San Bernardino-Ontario, CA MSA",2021-04-01T00:00:00.000,2021,April,Y,Prelim,2100113,1933191,166922,0.079
